Plot Title: T7A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548776, SEN S/N: 20548776, LBL: T7A)",Coupler Detached (LGR S/N: 20548776),Host Connected (LGR S/N: 20548776),Coupler Attached (LGR S/N: 20548776),Stopped (LGR S/N: 20548776),End Of File (LGR S/N: 20548776)
707,6/25/24 19:26,5.037,,,,,
708,6/25/24 19:41,5.244,,,,,
709,6/25/24 19:56,5.244,,,,,
710,6/25/24 20:11,5.037,,,,,
711,6/25/24 20:26,5.244,,,,,
712,6/25/24 20:41,5.244,,,,,
713,6/25/24 20:56,5.037,,,,,
714,6/25/24 21:11,5.347,,,,,
715,6/25/24 21:26,5.244,,,,,
716,6/25/24 21:41,5.141,,,,,
717,6/25/24 21:56,5.347,,,,,
718,6/25/24 22:11,5.244,,,,,
719,6/25/24 22:26,5.141,,,,,
720,6/25/24 22:41,5.244,,,,,
721,6/25/24 22:56,5.244,,,,,
722,6/25/24 23:11,5.141,,,,,
723,6/25/24 23:26,5.244,,,,,
724,6/25/24 23:41,5.244,,,,,
725,6/25/24 23:56,5.141,,,,,
726,6/26/24 0:11,5.141,,,,,
727,6/26/24 0:26,5.244,,,,,
728,6/26/24 0:41,5.141,,,,,
729,6/26/24 0:56,5.244,,,,,
730,6/26/24 1:11,5.244,,,,,
731,6/26/24 1:26,5.141,,,,,
732,6/26/24 1:41,5.037,,,,,
733,6/26/24 1:56,5.244,,,,,
734,6/26/24 2:11,5.141,,,,,
735,6/26/24 2:26,5.037,,,,,
736,6/26/24 2:41,5.244,,,,,
737,6/26/24 2:56,5.141,,,,,
738,6/26/24 3:11,5.037,,,,,
739,6/26/24 3:26,5.347,,,,,
740,6/26/24 3:41,5.244,,,,,
741,6/26/24 3:56,5.037,,,,,
742,6/26/24 4:11,5.347,,,,,
743,6/26/24 4:26,5.244,,,,,
744,6/26/24 4:41,5.141,,,,,
745,6/26/24 4:56,5.347,,,,,
746,6/26/24 5:11,5.244,,,,,
747,6/26/24 5:26,5.141,,,,,
748,6/26/24 5:41,5.244,,,,,
749,6/26/24 5:56,5.244,,,,,
750,6/26/24 6:11,5.141,,,,,
751,6/26/24 6:26,5.037,,,,,
752,6/26/24 6:41,5.347,,,,,
753,6/26/24 6:56,5.244,,,,,
754,6/26/24 7:11,5.141,,,,,
755,6/26/24 7:26,5.244,,,,,
756,6/26/24 7:41,5.244,,,,,
760,6/26/24 8:11,5.552,,,,,
761,6/26/24 8:26,5.244,,,,,
762,6/26/24 8:41,5.244,,,,,
763,6/26/24 8:56,5.244,,,,,
764,6/26/24 9:11,5.347,,,,,
765,6/26/24 9:26,5.347,,,,,
766,6/26/24 9:41,5.347,,,,,
767,6/26/24 9:56,5.45,,,,,
768,6/26/24 10:11,5.45,,,,,
769,6/26/24 10:26,5.552,,,,,
770,6/26/24 10:41,5.552,,,,,
771,6/26/24 10:56,5.655,,,,,
772,6/26/24 11:11,5.655,,,,,
773,6/26/24 11:26,5.655,,,,,
774,6/26/24 11:41,5.655,,,,,
775,6/26/24 11:56,5.655,,,,,
776,6/26/24 12:11,5.757,,,,,
777,6/26/24 12:26,5.757,,,,,
778,6/26/24 12:41,5.757,,,,,
779,6/26/24 12:56,5.757,,,,,
780,6/26/24 13:11,5.86,,,,,
781,6/26/24 13:26,5.86,,,,,
782,6/26/24 13:41,5.86,,,,,
783,6/26/24 13:56,5.86,,,,,
784,6/26/24 14:11,5.962,,,,,
785,6/26/24 14:26,5.962,,,,,
786,6/26/24 14:41,5.962,,,,,
787,6/26/24 14:56,5.962,,,,,
788,6/26/24 15:11,6.064,,,,,
789,6/26/24 15:26,6.064,,,,,
790,6/26/24 15:41,6.064,,,,,
791,6/26/24 15:56,6.064,,,,,
792,6/26/24 16:11,6.064,,,,,
793,6/26/24 16:26,6.064,,,,,
794,6/26/24 16:41,6.166,,,,,
795,6/26/24 16:56,6.166,,,,,
796,6/26/24 17:11,6.166,,,,,
797,6/26/24 17:26,6.166,,,,,
798,6/26/24 17:41,6.166,,,,,
799,6/26/24 17:56,6.166,,,,,
800,6/26/24 18:11,6.166,,,,,
801,6/26/24 18:26,6.064,,,,,
802,6/26/24 18:41,5.962,,,,,
803,6/26/24 18:56,5.86,,,,,
804,6/26/24 19:11,5.757,,,,,
805,6/26/24 19:26,5.552,,,,,
806,6/26/24 19:41,5.45,,,,,
807,6/26/24 19:56,5.347,,,,,
808,6/26/24 20:11,5.244,,,,,
809,6/26/24 20:26,5.141,,,,,
810,6/26/24 20:41,5.552,,,,,
811,6/26/24 20:56,5.45,,,,,
812,6/26/24 21:11,5.347,,,,,
813,6/26/24 21:26,5.244,,,,,
814,6/26/24 21:41,5.141,,,,,
815,6/26/24 21:56,5.45,,,,,
816,6/26/24 22:11,5.347,,,,,
817,6/26/24 22:26,5.244,,,,,
818,6/26/24 22:41,5.141,,,,,
819,6/26/24 22:56,5.552,,,,,
820,6/26/24 23:11,5.45,,,,,
821,6/26/24 23:26,5.347,,,,,
822,6/26/24 23:41,5.244,,,,,
823,6/26/24 23:56,5.141,,,,,
824,6/27/24 0:11,5.45,,,,,
825,6/27/24 0:26,5.347,,,,,
826,6/27/24 0:41,5.244,,,,,
827,6/27/24 0:56,5.141,,,,,
828,6/27/24 1:11,5.552,,,,,
829,6/27/24 1:26,5.45,,,,,
830,6/27/24 1:41,5.347,,,,,
831,6/27/24 1:56,5.244,,,,,
832,6/27/24 2:11,5.141,,,,,
833,6/27/24 2:26,5.552,,,,,
834,6/27/24 2:41,5.45,,,,,
835,6/27/24 2:56,5.347,,,,,
836,6/27/24 3:11,5.141,,,,,
837,6/27/24 3:26,5.347,,,,,
838,6/27/24 3:41,5.45,,,,,
839,6/27/24 3:56,5.347,,,,,
840,6/27/24 4:11,5.244,,,,,
841,6/27/24 4:26,5.141,,,,,
842,6/27/24 4:41,5.552,,,,,
843,6/27/24 4:56,5.45,,,,,
844,6/27/24 5:11,5.347,,,,,
845,6/27/24 5:26,5.244,,,,,
846,6/27/24 5:41,5.141,,,,,
847,6/27/24 5:56,5.552,,,,,
848,6/27/24 6:11,5.45,,,,,
849,6/27/24 6:26,5.244,,,,,
850,6/27/24 6:41,5.141,,,,,
851,6/27/24 6:56,5.45,,,,,
852,6/27/24 7:11,5.45,,,,,
853,6/27/24 7:26,5.347,,,,,
854,6/27/24 7:41,5.244,,,,,
855,6/27/24 7:56,5.141,,,,,
856,6/27/24 8:11,5.552,,,,,
857,6/27/24 8:26,5.552,,,,,
858,6/27/24 8:41,5.552,,,,,
859,6/27/24 8:56,5.45,,,,,
860,6/27/24 9:11,5.552,,,,,
861,6/27/24 9:26,5.552,,,,,
862,6/27/24 9:41,5.552,,,,,
863,6/27/24 9:56,5.552,,,,,
864,6/27/24 10:11,5.552,,,,,
865,6/27/24 10:26,5.552,,,,,
866,6/27/24 10:41,5.655,,,,,
867,6/27/24 10:56,5.655,,,,,
868,6/27/24 11:11,5.655,,,,,
869,6/27/24 11:26,5.655,,,,,
870,6/27/24 11:41,5.757,,,,,
871,6/27/24 11:56,5.757,,,,,
872,6/27/24 12:11,5.757,,,,,
873,6/27/24 12:26,5.757,,,,,
874,6/27/24 12:41,5.757,,,,,
875,6/27/24 12:56,5.757,,,,,
876,6/27/24 13:11,5.757,,,,,
877,6/27/24 13:26,5.757,,,,,
878,6/27/24 13:41,5.757,,,,,
879,6/27/24 13:56,5.86,,,,,
880,6/27/24 14:11,5.86,,,,,
881,6/27/24 14:26,5.86,,,,,
882,6/27/24 14:41,5.86,,,,,
883,6/27/24 14:56,5.86,,,,,
884,6/27/24 15:11,5.86,,,,,
885,6/27/24 15:26,5.86,,,,,
886,6/27/24 15:41,5.86,,,,,
887,6/27/24 15:56,5.86,,,,,
888,6/27/24 16:11,5.86,,,,,
889,6/27/24 16:26,5.86,,,,,
890,6/27/24 16:41,5.962,,,,,
891,6/27/24 16:56,5.962,,,,,
892,6/27/24 17:11,5.962,,,,,
893,6/27/24 17:26,5.962,,,,,
894,6/27/24 17:41,5.962,,,,,
895,6/27/24 17:56,5.962,,,,,
896,6/27/24 18:11,5.86,,,,,
897,6/27/24 18:26,5.757,,,,,
898,6/27/24 18:41,5.655,,,,,
899,6/27/24 18:56,5.552,,,,,
900,6/27/24 19:11,5.45,,,,,
901,6/27/24 19:26,5.347,,,,,
902,6/27/24 19:41,5.244,,,,,
903,6/27/24 19:56,5.141,,,,,
904,6/27/24 20:11,5.45,,,,,
905,6/27/24 20:26,5.347,,,,,
906,6/27/24 20:41,5.244,,,,,
907,6/27/24 20:56,5.141,,,,,
908,6/27/24 21:11,5.552,,,,,
909,6/27/24 21:26,5.45,,,,,
910,6/27/24 21:41,5.347,,,,,
911,6/27/24 21:56,5.244,,,,,
912,6/27/24 22:11,5.141,,,,,
913,6/27/24 22:26,5.45,,,,,
914,6/27/24 22:41,5.347,,,,,
915,6/27/24 22:56,5.244,,,,,
916,6/27/24 23:11,5.141,,,,,
917,6/27/24 23:26,5.552,,,,,
918,6/27/24 23:41,5.347,,,,,
919,6/27/24 23:56,5.244,,,,,
920,6/28/24 0:11,5.141,,,,,
921,6/28/24 0:26,5.45,,,,,
922,6/28/24 0:41,5.45,,,,,
923,6/28/24 0:56,5.347,,,,,
924,6/28/24 1:11,5.244,,,,,
925,6/28/24 1:26,5.141,,,,,
926,6/28/24 1:41,5.552,,,,,
927,6/28/24 1:56,5.347,,,,,
928,6/28/24 2:11,5.244,,,,,
929,6/28/24 2:26,5.141,,,,,
930,6/28/24 2:41,5.45,,,,,
931,6/28/24 2:56,5.45,,,,,
932,6/28/24 3:11,5.347,,,,,
933,6/28/24 3:26,5.244,,,,,
934,6/28/24 3:41,5.141,,,,,
935,6/28/24 3:56,5.552,,,,,
936,6/28/24 4:11,5.45,,,,,
937,6/28/24 4:26,5.347,,,,,
938,6/28/24 4:41,5.244,,,,,
939,6/28/24 4:56,5.141,,,,,
940,6/28/24 5:11,5.552,,,,,
941,6/28/24 5:26,5.45,,,,,
942,6/28/24 5:41,5.347,,,,,
943,6/28/24 5:56,5.244,,,,,
944,6/28/24 6:11,5.347,,,,,
945,6/28/24 6:26,5.45,,,,,
946,6/28/24 6:41,5.347,,,,,
947,6/28/24 6:56,5.244,,,,,
948,6/28/24 7:11,5.141,,,,,
949,6/28/24 7:26,5.45,,,,,
950,6/28/24 7:41,5.347,,,,,
951,6/28/24 7:56,5.244,,,,,
952,6/28/24 8:11,5.244,,,,,
953,6/28/24 8:26,5.141,,,,,
954,6/28/24 8:41,5.141,,,,,
955,6/28/24 8:56,5.141,,,,,
956,6/28/24 9:11,5.141,,,,,
957,6/28/24 9:26,5.244,,,,,
958,6/28/24 9:41,5.244,,,,,
959,6/28/24 9:56,5.347,,,,,
960,6/28/24 10:11,5.347,,,,,
961,6/28/24 10:26,5.347,,,,,
962,6/28/24 10:41,5.244,,,,,
963,6/28/24 10:56,5.347,,,,,
964,6/28/24 11:11,5.347,,,,,
965,6/28/24 11:26,5.347,,,,,
966,6/28/24 11:41,5.347,,,,,
967,6/28/24 11:56,5.45,,,,,
968,6/28/24 12:11,5.45,,,,,
