Plot Title: t13a,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548754, SEN S/N: 20548754)",Coupler Detached (LGR S/N: 20548754),End Of File (LGR S/N: 20548754)
144,8/3/23 19:23,29.352,,
145,8/3/23 19:38,29.352,,
146,8/3/23 19:53,29.352,,
147,8/3/23 20:08,29.352,,
148,8/3/23 20:23,29.352,,
149,8/3/23 20:38,29.352,,
150,8/3/23 20:53,29.452,,
151,8/3/23 21:08,29.552,,
152,8/3/23 21:23,29.552,,
153,8/3/23 21:38,29.652,,
154,8/3/23 21:53,29.652,,
155,8/3/23 22:08,29.752,,
156,8/3/23 22:23,29.652,,
157,8/3/23 22:38,29.652,,
158,8/3/23 22:53,29.452,,
159,8/3/23 23:08,29.452,,
160,8/3/23 23:23,29.452,,
161,8/3/23 23:38,29.252,,
162,8/3/23 23:53,29.252,,
163,8/4/23 0:08,29.352,,
164,8/4/23 0:23,29.352,,
165,8/4/23 0:38,29.352,,
166,8/4/23 0:53,29.352,,
167,8/4/23 1:08,29.452,,
168,8/4/23 1:23,29.652,,
169,8/4/23 1:38,29.652,,
170,8/4/23 1:53,29.652,,
171,8/4/23 2:08,29.652,,
172,8/4/23 2:23,29.552,,
173,8/4/23 2:38,29.452,,
174,8/4/23 2:53,29.252,,
175,8/4/23 3:08,29.252,,
176,8/4/23 3:23,29.352,,
177,8/4/23 3:38,29.152,,
178,8/4/23 3:53,29.252,,
179,8/4/23 4:08,29.252,,
180,8/4/23 4:23,29.252,,
181,8/4/23 4:38,29.352,,
182,8/4/23 4:53,29.552,,
183,8/4/23 5:08,29.652,,
184,8/4/23 5:23,29.552,,
185,8/4/23 5:38,29.252,,
186,8/4/23 5:53,29.352,,
187,8/4/23 6:08,29.352,,
188,8/4/23 6:23,29.452,,
189,8/4/23 6:38,29.452,,
190,8/4/23 6:53,29.452,,
191,8/4/23 7:08,29.352,,
192,8/4/23 7:23,29.352,,
193,8/4/23 7:38,29.452,,
194,8/4/23 7:53,29.352,,
195,8/4/23 8:08,29.152,,
196,8/4/23 8:23,29.252,,
197,8/4/23 8:38,29.252,,
198,8/4/23 8:53,29.252,,
199,8/4/23 9:08,29.452,,
200,8/4/23 9:23,29.352,,
201,8/4/23 9:38,29.552,,
202,8/4/23 9:53,29.652,,
203,8/4/23 10:08,29.352,,
204,8/4/23 10:23,29.252,,
205,8/4/23 10:38,29.352,,
206,8/4/23 10:53,29.252,,
207,8/4/23 11:08,29.352,,
208,8/4/23 11:23,29.352,,
209,8/4/23 11:38,29.352,,
210,8/4/23 11:53,29.452,,
211,8/4/23 12:08,29.452,,
212,8/4/23 12:23,29.452,,
213,8/4/23 12:38,29.552,,
214,8/4/23 12:53,29.552,,
215,8/4/23 13:08,29.652,,
216,8/4/23 13:23,29.752,,
217,8/4/23 13:38,29.853,,
218,8/4/23 13:53,29.752,,
219,8/4/23 14:08,29.752,,
220,8/4/23 14:23,29.752,,
221,8/4/23 14:38,29.652,,
222,8/4/23 14:53,29.652,,
223,8/4/23 15:08,29.552,,
224,8/4/23 15:23,29.352,,
225,8/4/23 15:38,29.752,,
226,8/4/23 15:53,29.252,,
